Industry,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"Accommodation services",184.1,207.4,210.5,222.4,233.8,209.9,202.8,218.7,225.6,231.9
"Food and beverage serving services",912.7,1002.6,1087.0,1183.0,1237.7,1189.1,1164.4,1189.5,1244.5,1294.4
"Passenger transport services",159.2,164.5,162.5,171.3,177.3,158.2,154.1,167.9,171.9,175.7
"Travel agencies and other reservation services",32.7,35.8,40.1,38.7,40.7,31.0,23.6,25.7,27.7,29.4
"Cultural, sports and recreational services",75.6,74.8,78.9,80.9,81.2,63.2,48.0,50.2,54.6,58.4
"Retail sale of automotive fuel",32.9,33.4,34.4,34.6,34.7,31.0,29.5,29.7,30.4,31.4
"Retail trade",992.5,1106.0,1104.5,1147.9,1158.1,1156.6,1166.7,1178.2,1254.9,1339.5
"Country-specific tourism characteristic services",294.5,317.1,348.6,370.5,356.9,342.5,347.9,364.8,372.6,377.1
